"code";"field_name";"from_value";"graphics_colour";"graphics_pattern";"line_colour";"line_style";"line_weight";"marker_size";"marker_style";"plotting_colour";"plotting_pattern";"style_type";"table_name";"to_value"
;"fe_flppm";"100.000000";"r=1.0 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.8 b=0.0";"solid";"N";"Discrete_samples";"110.000000"
;"fe_flppm";"110.000000";"tangerine";"solid";"periwinkle";"|--->";1;0.50;"/.\";"tangerine";"solid";"N";"Discrete_samples";"120.000000"
;"fe_flppm";"120.000000";"r=1.0 g=0.4 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.4 b=0.4";"solid";"N";"Discrete_samples";"140.000000"
;"fe_flppm";"140.000000";"r=0.8 g=0.4 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.4 b=1.0";"solid";"N";"Discrete_samples";"200.000000"
;"fe_flppm";"200.000000";"r=0.6 g=0.4 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.6 g=0.4 b=0.0";"solid";"N";"Discrete_samples";"999.000000"
;"fe_flppm";"1000.000000";"r=0.4 g=0.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.0 b=0.8";"solid";"N";"float";"3500.000000"
;"OD";"0.000000";"periwinkle";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float";"60.000000"
;"OD";"60.000000";"r=1.0 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.6 b=0.0";"solid";"N";"float";"85.000000"
;"OD";"85.000000";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"N";"float";"90.000000"
;"OD";"90.000000";"r=0.4 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.8 b=0.0";"solid";"N";"float";"99.000000"
;"z_250";"0.000000";"periwinkle";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"granulo";"10.000000"
;"z_250";"10.000000";"r=0.2 g=1.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=1.0 b=0.0";"solid";"N";"granulo";"20.000000"
