hole_id;depth_from;depth_to;quality_code100;quality_code110;samp_id
LBU_05_05;39;40;5;5;
LBU_05_05;40;41;5;5;
LBU_05_05;41;42;5;5;
LBU_05_05;42;43;5;5;
LBU_05_05;43;44;5;5;
LBU_05_05;44;45;5;5;
LBU_05_05;45;46;5;5;
LBU_05_05;46;47;5;5;
LBU_05_05;47;48;5;5;
LBU_05_05;48;49;5;5;
LBU_05_05;49;50;5;5;
LBU_05_06;2;3;2;2;
LBU_05_06;3;4;2;2;
LBU_05_06;4;5;2;2;
LBU_05_06;5;6;2;2;
LBU_05_06;6;7;2;2;
LBU_05_06;7;8;2;2;
LBU_05_06;8;9;2;2;
LBU_05_06;9;10;2;2;
LBU_05_06;10;11;2;2;
LBU_05_06;11;12;2;2;
LBU_05_06;12;13;2;2;
LBU_05_06;13;14;2;2;
LBU_05_06;14;15;2;2;
LBU_05_06;15;16;2;2;
LBU_05_06;16;17;2;2;
LBU_05_06;17;18;3.1;3.1;
LBU_05_06;18;19;3.1;3.1;
LBU_05_06;19;20;3.1;3.25;
LBU_05_06;20;21;3.1;3.25;
LBU_05_06;21;22;3.1;3.25;
LBU_05_06;22;23;3.1;3.25;
LBU_05_06;23;24;3.1;3.25;
LBU_05_06;24;25;3.1;3.25;
LBU_05_06;25;26;3.1;3.25;
LBU_05_06;26;27;3.1;3.25;
LBU_05_06;27;28;3.1;3.25;
LBU_05_06;28;29;3.25;3.25;
LBU_05_06;29;30;3.25;3.25;
LBU_05_06;30;31;3.25;3.25;
LBU_05_06;31;32;3.3;3.3;
LBU_05_06;32;33;3.3;3.3;
LBU_05_06;33;34;4;4;
LBU_05_06;34;35;4;4;
LBU_05_06;35;36;4;4;
LBU_05_06;36;37;4;4;
LBU_05_06;37;38;4;4;
LBU_05_06;38;39;4;4;
LBU_05_06;39;40;4;4;
LBU_05_06;40;41;4;4;
LBU_05_06;41;42;4;4;
LBU_05_06;42;43;4;4;
LBU_05_06;43;44;4;4;
LBU_05_06;44;45;4;4;
LBU_05_06;45;46;4;4;
LBU_05_06;46;47;4;4;
LBU_05_06;47;48;4;4;
LBU_05_06;48;49;4;4;
LBU_05_06;49;50;4;4;
LBU_05_07;2;3;1;1;
LBU_05_07;3;4;1;1;
LBU_05_07;4;5;2;2;
LBU_05_07;5;6;2;2;
LBU_05_07;6;7;2;2;
LBU_05_07;7;8;2;2;
LBU_05_07;8;9;2;2;
LBU_05_07;9;10;2;2;
LBU_05_07;10;11;2;2;
LBU_05_07;11;12;2;2;
LBU_05_07;12;13;2;2;
LBU_05_07;13;14;2;2;
LBU_05_07;14;15;2;2;
LBU_05_07;15;16;2;2;
LBU_05_07;16;17;3.1;3.1;
LBU_05_07;17;18;3.2;3.2;
LBU_05_07;18;19;3.2;3.2;
LBU_05_07;19;20;3.2;3.2;
LBU_05_07;20;21;3.2;3.2;
