"depth_from";"depth_to";"geol_code100";"hole_id"
34.00;42.00;"GZ";"BRG_05_05"
0.00;12.00;"IZ";"BRG_05_06"
12.00;25.00;"GZ";"BRG_05_06"
0.00;15.00;"IZ";"BRG_05_07"
15.00;25.00;"GZ";"BRG_05_07"
2.00;22.00;"GZ";"BRG_05_08"
19.00;29.00;"TZ";"BRG_05_09"
29.00;30.00;"BC";"BRG_05_09"
30.00;39.00;"IZ";"BRG_05_09"
39.00;50.00;"GZ";"BRG_05_09"
19.00;29.00;"TZ";"BRG_05_10"
29.00;41.00;"IZ";"BRG_05_10"
41.00;50.00;"GZ";"BRG_05_10"
16.00;29.00;"TZ";"BRG_05_11"
29.00;33.00;"BC";"BRG_05_11"
33.00;41.00;"IZ";"BRG_05_11"
41.00;62.00;"GZ";"BRG_05_11"
7.00;14.00;"TZ";"BRG_05_12"
14.00;27.00;"IZ";"BRG_05_12"
27.00;39.00;"GZ";"BRG_05_12"
4.00;14.00;"TZ";"BRG_05_13"
14.00;33.00;"IZ";"BRG_05_13"
33.00;40.00;"GZ";"BRG_05_13"
6.00;11.00;"TZ";"BRG_05_14"
11.00;29.00;"IZ";"BRG_05_14"
29.00;37.00;"GZ";"BRG_05_14"
2.00;13.00;"TZ";"BRG_05_15"
13.00;14.00;"BC";"BRG_05_15"
14.00;23.00;"IZ";"BRG_05_15"
23.00;38.00;"GZ";"BRG_05_15"
2.00;16.00;"TZ";"BRG_08_01"
16.00;18.00;"BC";"BRG_08_01"
18.00;26.00;"IZ";"BRG_08_01"
26.00;29.00;"GZ";"BRG_08_01"
0.00;21.00;"IZ";"BRG_13_01"
0.00;21.00;"IZ";"BRG_13_02"
0.00;2.00;"OVB";"BRG_16_01"
2.00;9.00;"GR";"BRG_16_01"
9.00;18.00;"TZ";"BRG_16_01"
18.00;41.00;"IZ";"BRG_16_01"
41.00;50.00;"GZ";"BRG_16_01"
0.00;11.00;"GR";"BRG_16_02"
11.00;30.00;"TZ";"BRG_16_02"
30.00;33.00;"IZ";"BRG_16_02"
33.00;50.00;"GZ";"BRG_16_02"
0.00;20.00;"GR";"BRG_16_03"
20.00;26.00;"TZ";"BRG_16_03"
26.00;41.00;"IZ";"BRG_16_03"
41.00;50.00;"GZ";"BRG_16_03"
0.00;20.00;"GR";"BRG_16_04A"
20.00;27.00;"TZ";"BRG_16_04A"
27.00;30.00;"IZ";"BRG_16_04A"
0.00;5.00;"TZ";"BRG_16_04B"
5.00;28.00;"IZ";"BRG_16_04B"
28.00;30.00;"GZ";"BRG_16_04B"
0.00;3.00;"OVB";"BRG_16_05"
3.00;21.00;"GR";"BRG_16_05"
21.00;29.00;"TZ";"BRG_16_05"
29.00;41.00;"IZ";"BRG_16_05"
41.00;50.00;"GZ";"BRG_16_05"
0.00;5.00;"TZ";"BRG_16_06"
5.00;7.00;"BC";"BRG_16_06"
7.00;16.00;"IZ";"BRG_16_06"
16.00;17.00;"GZ";"BRG_16_06"
0.00;4.00;"TZ";"BRG_16_07"
4.00;17.00;"IZ";"BRG_16_07"
0.00;18.00;"IZ";"BRG_16_08"
0.00;8.00;"TZ";"BRG_16_09"
8.00;11.00;"BC";"BRG_16_09"
11.00;18.00;"IZ";"BRG_16_09"
16.00;29.00;"TZ";"BRG_93_1"
29.00;29.50;"BC";"BRG_93_1"
29.50;42.00;"IZ";"BRG_93_1"
23.00;28.00;"TZ";"BRG_93_2"
28.00;30.00;"BC";"BRG_93_2"
30.00;39.00;"IZ";"BRG_93_2"
13.00;25.00;"TZ";"BRG_93_3"
19.00;28.00;"TZ";"BRG_93_4"
28.00;29.00;"BC";"BRG_93_4"
29.00;46.00;"IZ";"BRG_93_4"
17.00;27.00;"TZ";"BRG_93_4A"
27.00;28.00;"BC";"BRG_93_4A"
28.00;43.00;"IZ";"BRG_93_4A"
18.00;31.00;"TZ";"BRG_93_6"
31.00;35.00;"BC";"BRG_93_6"
35.00;45.00;"IZ";"BRG_93_6"
17.00;26.50;"TZ";"BRG_93_7"
26.50;27.00;"BC";"BRG_93_7"
27.00;38.00;"IZ";"BRG_93_7"
19.00;29.00;"TZ";"BRG_93_8"
29.00;30.00;"BC";"BRG_93_8"
30.00;43.00;"IZ";"BRG_93_8"
14.00;20.00;"TZ";"BRG_96_02"
20.00;21.00;"BC";"BRG_96_02"
21.00;26.00;"IZ";"BRG_96_02"
26.00;35.00;"GZ";"BRG_96_02"
13.00;19.00;"TZ";"BRG_96_03"
19.00;23.00;"BC";"BRG_96_03"
23.00;29.00;"IZ";"BRG_96_03"
